"#","arrivo","avg_penality","avg_score","btw","fascia_btwn","location","name","partenza","penality","peso","popolazione","popolazione_old","saturation_index","score"
"43","279 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00448324182864749,0.00448324182864749,0.00448324182864749,0.00448324182864749]","1799.5","0","{62.99499999999989,34.87000000000262,0.0}","'wedge43'","35 as bus_stop","1.0","967","14","17","0","0.01046089760017748"
"44","391 as bus_stop","[1.0,0.19999999999999987,0.30000000000000004,0.7]","[0.03381565184902684,0.05113586377169912,0.04854126853328294,0.03010417786559708]","6621.0","2","{59.970000000000255,34.66500000000087,0.0}","'wedge44'","129 as bus_stop","1.0","277","43","54","0","0.03848935982816063"
"45","418 as bus_stop","[1.0,1.0,1.0,0.9999999999999999]","[0.00047585395347134,0.00047585395347134,0.00047585395347134,0.00047585395347134]","191.0","0","{62.339999999999236,40.720000000001164,0.0}","'wedge45'","89 as bus_stop","1.0","560","4","6","0","0.00111032589143312"
"46","106 as bus_stop","[0.7,1.0,1.0,0.4]","[0.00427396574439831,0.00427396574439831,0.00427396574439831,0.00427396574439831]","1715.5","0","{60.75,26.70499999999811,0.0}","'wedge46'","39 as bus_stop","1.0","508","2","1","0","0.0099725867369294"
"47","199 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00793878860071422,0.00793878860071422,0.00793878860071422,0.00793878860071422]","3186.5","1","{61.534999999999854,23.68499999999767,0.0}","'wedge47'","398 as bus_stop","1.0","439","9","25","0","0.01852384006833316"
"48","32 as bus_stop","[1.0,1.0,1.0,0.9999999999999999]","[0.00022048730304824,0.00022048730304824,0.00022048730304824,0.00022048730304824]","88.5","0","{63.57999999999993,12.7599999999984,0.0}","'wedge48'","43 as bus_stop","1.0","2011","0","3","0","0.00051447037377922"
"49","342 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00002117674662045,0.00002117674662045,0.00002117674662045,0.00002117674662045]","8.5","0","{60.44000000000051,8.694999999999709,0.0}","'wedge49'","98 as bus_stop","1.0","645","4","2","0","0.00004941240878106"
"50","59 as bus_stop","[1.0,1.0,0.7,1.0]","[0.00031889689028446,0.00031889689028446,0.00031889689028446,0.00031889689028446]","128.0","0","{48.409999999999854,16.860000000000582,0.0}","'wedge50'","62 as bus_stop","1.0","604","4","2","0","0.00074409274399706"
"51","84 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00115475553630348,0.00115475553630348,0.00115475553630348,0.00115475553630348]","463.5","0","{25.110000000000582,39.965000000000146,0.0}","'wedge51'","381 as bus_stop","1.0","639","3","4","0","0.00269442958470812"
"52","355 as bus_stop","[0.0,0.09999999999999998,0.0,0.3]","[0.05221318781373776,0.05654793401220892,0.05654793401220892,0.06110491037949314]","4772.5","2","{25.69499999999971,33.0099999999984,0.0}","'wedge52'","127 as bus_stop","1.0","35","21","29","2","0.14652096262272754"
"53","171 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00112610464381698,0.00112610464381698,0.00112610464381698,0.00112610464381698]","452.0","0","{33.72999999999956,45.93000000000029,0.0}","'wedge53'","149 as bus_stop","1.0","560","9","12","0","0.00262757750223963"
"54","83 as bus_stop","[0.9999999999999999,1.0,1.0,1.0]","[0.00220238164852702,0.00220238164852702,0.00220238164852702,0.00220238164852702]","884.0","0","{62.840000000000146,51.830000000001746,0.0}","'wedge54'","300 as bus_stop","1.0","404","0","4","0","0.00513889051322972"
"55","316 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00092430270543385,0.00092430270543385,0.00092430270543385,0.00092430270543385]","371.0","0","{75.92000000000007,47.33499999999913,0.0}","'wedge55'","243 as bus_stop","1.0","460","0","0","0","0.00215670631267899"
"56","238 as bus_stop","[0.5,1.0,1.0,1.0]","[0.00041232371360998,0.00041232371360998,0.00041232371360998,0.00041232371360998]","165.5","0","{53.11499999999978,26.520000000000437,0.0}","'wedge56'","286 as bus_stop","1.0","731","0","4","0","0.00096208866508995"
"57","336 as bus_stop","[1.0,1.0,1.0,0.6]","[0.00135282040175359,0.00135282040175359,0.00135282040175359,0.00135282040175359]","543.0","0","{48.774999999999636,43.090000000000146,0.0}","'wedge57'","120 as bus_stop","1.0","556","6","6","0","0.00315658093742504"
"58","204 as bus_stop","[1.0,1.0,0.8999999999999998,0.0]","[0.00039329164784269,0.00050456749545524,0.00058719001759111,0.00043957381199414]","45.0","0","{50.0649999999996,37.6150000000016,0.0}","'wedge58'","90 as bus_stop","1.0","9","0","4","1","0.00085018409226227"
"59","8 as bus_stop","[0.9999999999999999,1.0,1.0,1.0]","[0.00027280632411053,0.00027280632411053,0.00027280632411053,0.00027280632411053]","109.5","0","{61.42500000000018,44.06000000000131,0.0}","'wedge59'","312 as bus_stop","1.0","376","6","4","0","0.00063654808959124"
"60","245 as bus_stop","[1.0,1.0,1.0,0.09999999999999998]","[0.00008221560452646,0.00008221560452646,0.00008221560452646,0.00008221560452646]","33.0","0","{47.19499999999971,31.229999999999563,0.0}","'wedge60'","182 as bus_stop","1.0","486","2","0","0","0.00019183641056174"
"61","347 as bus_stop","[0.0,0.09999999999999998,0.0,0.3]","[0.01262197031925216,0.01352739431840042,0.01771872793035161,0.01050531686428969]","2310.5","1","{25.88500000000022,32.70999999999913,0.0}","'wedge61'","76 as bus_stop","0.5","28","2","10","1","0.04365222989271057"
"62","157 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00032014258126213,0.00032014258126213,0.00032014258126213,0.00032014258126213]","128.5","0","{38.64000000000033,3.6049999999995634,0.0}","'wedge62'","72 as bus_stop","1.0","216","4","3","0","0.0007469993562783"
"63","403 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00024913819553473,0.00024913819553473,0.00024913819553473,0.00024913819553473]","100.0","0","{47.00500000000011,3.7150000000001455,0.0}","'wedge63'","118 as bus_stop","1.0","216","0","0","0","0.00058132245624771"
"64","393 as bus_stop","[0.7999999999999999,0.1,0.2,0.1]","[0.04386228250632897,0.04507157449095463,0.04507157449095463,0.04738293728536254]","3862.0","1","{46.99000000000069,34.22500000000218,0.0}","'wedge64'","82 as bus_stop","1.0","35","23","28","2","0.11856761815588762"
"65","31 as bus_stop","[0.7,0.09999999999999998,0.0,0.09999999999999998]","[0.03772653691192911,0.03772653691192911,0.03772653691192911,0.03772653691192911]","3257.5","1","{60.6899999999996,18.174999999999272,0.0}","'wedge65'","198 as bus_stop","0.5","4","6","20","4","0.0880285861278346"
"66","57 as bus_stop","[0.6,0.7999999999999999,1.0,1.0]","[0.00070007832945259,0.00070007832945259,0.00070007832945259,0.00070007832945259]","281.0","0","{39.17000000000007,15.0099999999984,0.0}","'wedge66'","308 as bus_stop","1.0","406","2","3","0","0.00163351610205605"
"67","156 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00015820275416455,0.00015820275416455,0.00015820275416455,0.00015820275416455]","63.5","0","{43.160000000000764,43.27000000000044,0.0}","'wedge67'","191 as bus_stop","1.0","376","7","5","0","0.00036913975971729"
"68","102 as bus_stop","[1.0,1.0,1.0,0.6]","[0.00629073943725196,0.00629073943725196,0.00629073943725196,0.00629073943725196]","2525.0","1","{25.044999999999163,43.14999999999782,0.0}","'wedge68'","96 as bus_stop","1.0","244","15","20","0","0.01467839202025458"
"69","285 as bus_stop","[1.0,1.0,1.0,1.0]","[0.0,0.0,0.0,0.0]","0.0","0","{12.069999999999709,9.784999999999854,0.0}","'wedge69'","107 as bus_stop","1.0","612","3","0","0","0.0"
"70","322 as bus_stop","[1.0,1.0,0.8999999999999999,1.0]","[0.0065299121049653,0.0065299121049653,0.0065299121049653,0.0065299121049653]","2621.0","1","{53.23500000000058,39.469999999997526,0.0}","'wedge70'","86 as bus_stop","1.0","244","17","26","0","0.01523646157825238"
"71","379 as bus_stop","[1.0,0.1,0.30000000000000004,0.7]","[0.01183048292633892,0.01183048292633892,0.01183048292633893,0.00924928665150134]","3453.5","1","{64.40000000000055,35.22999999999956,0.0}","'wedge71'","298 as bus_stop","1.0","35","5","4","0","0.02007597102651454"
"72","28 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00000871983684372,0.00000871983684372,0.00000871983684372,0.00000871983684372]","3.5","0","{60.840000000000146,6.06000000000131,0.0}","'wedge72'","27 as bus_stop","1.0","286","1","2","0","0.00002034628596867"
"73","163 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00577253199053972,0.00577253199053972,0.00577253199053972,0.00577253199053972]","2317.0","1","{43.01499999999942,40.155000000002474,0.0}","'wedge73'","77 as bus_stop","1.0","244","10","15","0","0.01346924131125936"
"74","148 as bus_stop","[0.0,0.0,0.0,0.0]","[0.00824273719926658,0.00824273719926658,0.00824273719926658,0.00824273719926658]","3308.5","1","{61.475000000000364,20.31999999999971,0.0}","'wedge74'","199 as bus_stop","1.0","439","9","26","0","0.01923305346495536"
"75","414 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00020553901131615,0.00020553901131615,0.00020553901131615,0.00020553901131615]","82.5","0","{69.35499999999956,24.32999999999811,0.0}","'wedge75'","380 as bus_stop","1.0","154","2","0","0","0.00047959102640436"
"76","82 as bus_stop","[0.7999999999999998,0.0,0.1,0.6]","[0.05971721424605843,0.06089520524418212,0.06089520524418212,0.06544733202673537]","5258.0","2","{52.55500000000029,34.54000000000087,0.0}","'wedge76'","110 as bus_stop","1.0","35","23","32","2","0.16142634289582009"
"77","186 as bus_stop","[1.0,1.0,1.0,1.0]","[0.0064501878823942,0.0064501878823942,0.0064501878823942,0.0064501878823942]","2589.0","1","{42.73499999999967,41.10499999999956,0.0}","'wedge77'","255 as bus_stop","1.0","244","15","22","0","0.01505043839225312"
"78","178 as bus_stop","[1.0,0.5999999999999999,0.1,1.0]","[0.00091433717761246,0.00091433717761246,0.00091433717761246,0.00091433717761246]","367.0","0","{50.3100000000004,19.154999999998836,0.0}","'wedge78'","351 as bus_stop","1.0","460","2","1","0","0.00213345341442908"
"79","396 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00137275145739637,0.00137275145739637,0.00137275145739637,0.00137275145739637]","551.0","0","{41.340000000000146,43.88000000000102,0.0}","'wedge79'","138 as bus_stop","1.0","556","7","6","0","0.00320308673392486"
"80","114 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00045467720685088,0.00045467720685088,0.00045467720685088,0.00045467720685088]","182.5","0","{49.45499999999993,10.784999999999854,0.0}","'wedge80'","99 as bus_stop","1.0","406","0","3","0","0.00106091348265206"
"81","367 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00085828108361715,0.00085828108361715,0.00085828108361715,0.00085828108361715]","344.5","0","{78.69000000000051,55.16500000000087,0.0}","'wedge81'","70 as bus_stop","1.0","405","2","2","0","0.00200265586177335"
"82","169 as bus_stop","[0.6,0.7999999999999999,1.0,1.0]","[0.00030394859855237,0.00030394859855237,0.00030394859855237,0.00030394859855237]","122.0","0","{30.36999999999989,4.915000000000873,0.0}","'wedge82'","326 as bus_stop","1.0","216","3","12","0","0.0007092133966222"
"83","366 as bus_stop","[0.5,1.0,1.0,1.0]","[0.0000660216218167,0.0000660216218167,0.0000660216218167,0.0000660216218167]","26.5","0","{31.25500000000011,4.400000000001455,0.0}","'wedge83'","313 as bus_stop","1.0","216","1","3","0","0.00015405045090564"
"84","81 as bus_stop","[0.30000000000000004,0.8999999999999999,1.0,1.0]","[0.01567826664500064,0.01567826664500064,0.01567826664500064,0.01567826664500064]","6293.0","2","{34.590000000000146,28.06999999999971,0.0}","'wedge84'","192 as bus_stop","1.0","858","25","39","0","0.03658262217166815"
"85","389 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00000996552782139,0.00000996552782139,0.00000996552782139,0.00000996552782139]","4.0","0","{51.26000000000022,56.1150000000016,0.0}","'wedge85'","330 as bus_stop","1.0","242","4","3","0","0.00002325289824991"
"86","110 as bus_stop","[0.7999999999999999,0.1,0.2,0.6]","[0.03634996342969223,0.0501474079809151,0.04890408381609902,0.03025422134385786]","6654.0","2","{56.60499999999956,34.75,0.0}","'wedge86'","180 as bus_stop","1.0","279","43","58","0","0.03868119623872238"
"87","44 as bus_stop","[1.0,0.9999999999999998,0.6,1.0]","[0.00052817297453363,0.00052817297453363,0.00052817297453363,0.00052817297453363]","212.0","0","{57.44500000000062,16.154999999998836,0.0}","'wedge87'","45 as bus_stop","1.0","549","0","2","0","0.00123240360724514"
"88","13 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00008719836843716,0.00008719836843716,0.00008719836843716,0.00008719836843716]","35.0","0","{10.204999999999927,30.260000000002037,0.0}","'wedge88'","241 as bus_stop","1.0","449","1","0","0","0.0002034628596867"
"89","29 as bus_stop","[1.0,0.9999999999999998,0.6,0.9999999999999999]","[0.00035253054668164,0.00035253054668164,0.00035253054668164,0.00035253054668164]","141.5","0","{57.465000000000146,20.774999999997817,0.0}","'wedge89'","106 as bus_stop","1.0","508","1","1","0","0.0008225712755905"
"90","429 as bus_stop","[1.0,0.8999999999999999,1.0,1.0]","[0.00001494829173208,0.00001494829173208,0.00001494829173208,0.00001494829173208]","6.0","0","{67.3149999999996,35.24499999999898,0.0}","'wedge90'","1 as bus_stop","1.0","1595","0","1","0","0.00003487934737486"
"91","251 as bus_stop","[0.2,0.29999999999999993,0.2,0.5]","[0.06237623194238882,0.06319991156666074,0.06319991156666074,0.06677750024903384]","5457.0","2","{52.789999999999964,34.275000000001455,0.0}","'wedge91'","216 as bus_stop","1.0","33","31","41","3","0.1814971819350256"
"92","320 as bus_stop","[1.0,0.4999999999999999,0.19999999999999998,1.0]","[0.01295767754976137,0.01295767754976137,0.01295767754976137,0.01295767754976137]","5201.0","2","{51.73000000000047,18.889999999999418,0.0}","'wedge92'","136 as bus_stop","1.0","861","30","38","0","0.0302345809494432"
"93","89 as bus_stop","[1.0,1.0,1.0,0.9999999999999999]","[0.00056803508581919,0.00056803508581919,0.00056803508581919,0.00056803508581919]","228.0","0","{60.26499999999942,40.35499999999956,0.0}","'wedge93'","377 as bus_stop","1.0","560","4","6","0","0.00132541520024477"
"94","332 as bus_stop","[0.9999999999999999,1.0,1.0,1.0]","[0.00001245690977674,0.00001245690977674,0.00001245690977674,0.00001245690977674]","5.0","0","{63.02000000000044,52.48500000000058,0.0}","'wedge94'","307 as bus_stop","1.0","397","1","1","0","0.00002906612281239"
"95","130 as bus_stop","[1.0,1.0,1.0,0.6]","[0.00088693197610364,0.00088693197610364,0.00088693197610364,0.00088693197610364]","356.0","0","{48.35499999999956,42.93500000000131,0.0}","'wedge95'","100 as bus_stop","1.0","560","10","7","0","0.00206950794424183"
"96","348 as bus_stop","[0.6,0.3999999999999999,0.0,0.4]","[0.05032388649232949,0.04990441981688487,0.04990441981688487,0.05272938401559218]","4309.0","1","{38.39000000000033,33.469999999997526,0.0}","'wedge96'","242 as bus_stop","1.0","33","33","46","4","0.11644364623939811"
"97","137 as bus_stop","[1.0,1.0,1.0,0.9999999999999999]","[0.00353651668561551,0.00353651668561551,0.00353651668561551,0.00353651668561551]","1419.5","0","{62.970000000000255,39.215000000000146,0.0}","'wedge97'","279 as bus_stop","1.0","967","12","16","0","0.00825187226643619"
"98","195 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00098035879942917,0.00098035879942917,0.00098035879942917,0.00098035879942917]","393.5","0","{50.11500000000069,7.975000000002183,0.0}","'wedge98'","117 as bus_stop","1.0","439","3","8","0","0.00228750386533472"
"99","232 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00027778908802123,0.00027778908802123,0.00027778908802123,0.00027778908802123]","111.5","0","{42.914999999999964,11.940000000002328,0.0}","'wedge99'","269 as bus_stop","1.0","406","1","5","0","0.00064817453871619"
