"#","arrivo","avg_penality","avg_score","btw","fascia_btwn","location","name","partenza","penality","peso","popolazione","popolazione_old","saturation_index","score"
"54","83 as bus_stop","[1.0,1.0,1.0,1.0]","[0.6008942555293301,0.7538491569367962,0.8558190912084398,0.5171332380919084]","884.0","0","{62.840000000000146,51.830000000001746,0.0}","'wedge54'","300 as bus_stop","1.0","404","0","1","0","0.2549248356791098"
"55","316 as bus_stop","[1.0,1.0,1.0,0.7]","[0.00272659932517257,0.00545319865034514,0.01635959595103542,0.00272659932517257]","371.0","0","{75.92000000000007,47.33499999999913,0.0}","'wedge55'","243 as bus_stop","0.5","460","0","1","0","0.19086195276207993"
"56","238 as bus_stop","[1.0,1.0,1.0,1.0]","[0.4520874171388756,0.6041721242869768,0.6104221807451179,0.38333679609932314]","165.5","0","{53.11499999999978,26.520000000000437,0.0}","'wedge56'","286 as bus_stop","1.0","731","8","3","0","0.4375039520698796"
"57","336 as bus_stop","[1.0,1.0,1.0,1.0]","[1.5695359064221601,1.8202901636612037,2.1886822205926375,1.3094944544705596]","543.0","0","{48.774999999999636,43.090000000000146,0.0}","'wedge57'","120 as bus_stop","1.0","556","10","7","0","1.5169084697176696"
"58","204 as bus_stop","[1.0,1.0,1.0,0.9999999999999999]","[0.02150191355326873,0.01257839302746751,0.0102650520406245,0.02950111371108947]","45.0","0","{50.0649999999996,37.6150000000016,0.0}","'wedge58'","90 as bus_stop","1.0","9","5","1","0","0.09447833497662217"
"59","8 as bus_stop","[0.8999999999999999,1.0,0.8999999999999999,1.0]","[0.43024556810302833,0.515568528866076,0.6263068396436487,0.3884917787934518]","109.5","0","{61.42500000000018,44.06000000000131,0.0}","'wedge59'","312 as bus_stop","1.0","376","4","1","0","0.1270767500726244"
"60","245 as bus_stop","[1.0,1.0,1.0,1.0]","[0.08154727797838766,0.10345550191287987,0.11927810808779095,0.07789590732263897]","33.0","0","{47.19499999999971,31.229999999999563,0.0}","'wedge60'","182 as bus_stop","1.0","486","1","0","0","0.0"
"61","347 as bus_stop","[0.0,0.0,0.0,0.0]","[0.507584139571834,0.5884544386169047,0.6193461490442063,0.710125526120553]","2310.5","1","{25.88500000000022,32.70999999999913,0.0}","'wedge61'","76 as bus_stop","1.0","28","8","4","0","1.4046130810314827"
"62","157 as bus_stop","[0.9999999999999999,0.6,0.4,1.0]","[0.34849973341767015,0.4863677598246606,0.60508744923068,0.34467006601747596]","128.5","0","{38.64000000000033,3.6049999999995634,0.0}","'wedge62'","72 as bus_stop","0.5","216","3","0","0","0.0"
"63","403 as bus_stop","[1.0,1.0,1.0,1.0]","[0.02641929831367789,0.01937415209669712,0.02994187142216828,0.01232900587971635]","100.0","0","{47.00500000000011,3.7150000000001455,0.0}","'wedge63'","118 as bus_stop","1.0","216","0","0","0","0.0"
"64","393 as bus_stop","[1.0,1.0,0.6,0.9999999999999999]","[0.16417820631010177,0.00485719403398226,0.00638876636859416,0.04407393278093742]","3862.0","1","{46.99000000000069,34.22500000000218,0.0}","'wedge64'","82 as bus_stop","1.0","35","38","31","2","0.3591003599562821"
"65","31 as bus_stop","[1.0,0.0,0.4,0.0]","[0.00210694932987168,0.00258062192577073,0.00306993465455323,0.00185670720373634]","3257.5","1","{60.6899999999996,18.174999999999272,0.0}","'wedge65'","198 as bus_stop","1.0","4","15","12","4","0.00187681594601507"
"66","57 as bus_stop","[1.0,1.0,1.0,1.0]","[0.5989848466234257,0.7679930191146827,0.8823220769764152,0.4672578886522987]","281.0","0","{39.17000000000007,15.0099999999984,0.0}","'wedge66'","308 as bus_stop","1.0","406","4","0","0","0.0"
"67","156 as bus_stop","[0.7,0.8999999999999999,1.0,1.0]","[0.5646726588295587,0.6040332194986432,0.71605943063373,0.4496187122583887]","63.5","0","{43.160000000000764,43.27000000000044,0.0}","'wedge67'","191 as bus_stop","1.0","376","9","7","0","0.741795181840439"
"68","102 as bus_stop","[1.0,1.0,1.0,1.0]","[5.384163002860219,6.624277322137046,7.502691631624797,5.06380013704704]","2525.0","1","{25.044999999999163,43.14999999999782,0.0}","'wedge68'","96 as bus_stop","1.0","244","16","20","0","7.2340001957814835"
"69","285 as bus_stop","[1.0,0.2,1.0,1.0]","[0.0,0.0,0.0,0.0]","0.0","0","{12.069999999999709,9.784999999999854,0.0}","'wedge69'","107 as bus_stop","1.0","612","0","2","0","0.0"
"70","322 as bus_stop","[1.0,0.9999999999999998,1.0,0.7999999999999999]","[5.332861299482475,7.183281685938486,8.2139491965939,5.540491846619708]","2621.0","1","{53.23500000000058,39.469999999997526,0.0}","'wedge70'","86 as bus_stop","1.0","244","14","27","0","9.888129924562085"
"71","379 as bus_stop","[0.0,1.0,1.0,0.7]","[0.8094622855185694,1.1706118324758272,1.0048381006010374,0.9177051222989159]","3453.5","1","{64.40000000000055,35.22999999999956,0.0}","'wedge71'","298 as bus_stop","1.0","35","2","4","0","1.605983964023103"
"72","28 as bus_stop","[1.0,1.0,1.0,1.0]","[0.0645263932340115,0.07662509196538864,0.0829625055865862,0.0645263932340115]","3.5","0","{60.840000000000146,6.06000000000131,0.0}","'wedge72'","27 as bus_stop","1.0","286","2","3","0","0.12098698731377158"
"73","163 as bus_stop","[0.1,0.8999999999999999,1.0,1.0]","[4.644586943834584,5.794436035875794,6.587781697633484,4.132427086244174]","2317.0","1","{43.01499999999942,40.155000000002474,0.0}","'wedge73'","77 as bus_stop","1.0","244","19","23","0","8.084091869809383"
"74","148 as bus_stop","[0.6999999999999998,0.6,0.8999999999999998,0.19999999999999987]","[6.886856296981634,8.232563849265405,9.216400463119921,5.987833184321472]","3308.5","1","{61.475000000000364,20.31999999999971,0.0}","'wedge74'","199 as bus_stop","0.5","439","15","28","0","11.082297489395735"
"75","414 as bus_stop","[1.0,1.0,0.0,1.0]","[0.13049937363031258,0.14701828168478254,0.27751765531509515,0.14867017249022954]","82.5","0","{69.35499999999956,24.32999999999811,0.0}","'wedge75'","380 as bus_stop","1.0","154","0","1","0","0.11563235638128964"
"76","82 as bus_stop","[0.09999999999999998,0.9999999999999998,0.5999999999999999,0.7999999999999998]","[0.1606861175606641,0.0054593849858216,0.00717583016048437,0.07657246457540828]","5258.0","2","{52.55500000000029,34.54000000000087,0.0}","'wedge76'","110 as bus_stop","1.0","35","39","33","2","0.4236795712597512"
"77","186 as bus_stop","[0.7,0.8999999999999999,1.0,1.0]","[5.2307009970434235,6.9507211548415775,7.8417056507020755,5.220856519603642]","2589.0","1","{42.73499999999967,41.10499999999956,0.0}","'wedge77'","255 as bus_stop","1.0","244","14","23","0","8.388801393774315"
"78","178 as bus_stop","[0.6999999999999997,0.8999999999999997,0.6,0.1]","[0.6710409047877011,0.703642082348237,0.9264167956785667,0.5297691353587113]","367.0","0","{50.3100000000004,19.154999999998836,0.0}","'wedge78'","351 as bus_stop","1.0","460","4","3","0","0.5705206073093814"
"79","396 as bus_stop","[1.0,0.7,1.0,1.0]","[1.7763014113965865,2.1184960790911993,2.507353656016898,1.4838805135484614]","551.0","0","{41.340000000000146,43.88000000000102,0.0}","'wedge79'","138 as bus_stop","1.0","556","11","7","0","1.5243217015487343"
"80","114 as bus_stop","[1.0,1.0,1.0,1.0]","[0.3357702708209013,0.39388435615528805,0.43262707971154585,0.26258957077019207]","182.5","0","{49.45499999999993,10.784999999999854,0.0}","'wedge80'","99 as bus_stop","1.0","406","1","0","0","0.0"
"81","367 as bus_stop","[1.0,1.0,1.0,1.0]","[0.39635045720973033,0.4415716503141962,0.5878755103580565,0.3644296150183426]","344.5","0","{78.69000000000051,55.16500000000087,0.0}","'wedge81'","70 as bus_stop","1.0","405","0","3","0","0.5586147383492843"
"82","169 as bus_stop","[0.9999999999999999,1.0,1.0,0.09999999999999998]","[0.7226830258646247,0.9823972382847245,1.0238009533082189,0.7170370647250576]","122.0","0","{30.36999999999989,4.915000000000873,0.0}","'wedge82'","326 as bus_stop","0.5","216","9","6","0","0.7904345595394334"
"83","366 as bus_stop","[0.9999999999999999,1.0,1.0,0.5]","[0.06561552951071409,0.08597896970369431,0.13915017465203158,0.08484766747075095]","26.5","0","{31.25500000000011,4.400000000001455,0.0}","'wedge83'","313 as bus_stop","0.5","216","2","0","0","0.0"
"84","81 as bus_stop","[0.0,0.1,0.0,0.4]","[15.517544309301982,19.496761089294544,21.955748923409665,14.263530570536716]","6293.0","2","{34.590000000000146,28.06999999999971,0.0}","'wedge84'","192 as bus_stop","1.0","858","34","41","0","20.10625380031453"
"85","389 as bus_stop","[1.0,1.0,1.0,1.0]","[0.07770334718848051,0.089750377760338,0.0963762445748596,0.07107748037395893]","4.0","0","{51.26000000000022,56.1150000000016,0.0}","'wedge85'","330 as bus_stop","1.0","242","2","2","0","0.08432921400300213"
"86","110 as bus_stop","[0.19999999999999998,0.9999999999999998,0.5999999999999999,0.30000000000000004]","[6.911840790871821,5.7625592344541845,6.254397308579091,11.292430921817061]","6654.0","2","{56.60499999999956,34.75,0.0}","'wedge86'","180 as bus_stop","1.0","279","53","64","0","31.97439230675842"
"87","44 as bus_stop","[0.7999999999999999,0.49999999999999967,0.39999999999999936,0.6999999999999997]","[0.10634240989667455,0.1267058500896548,0.14028147688497491,0.09502938756724107]","212.0","0","{57.44500000000062,16.154999999998836,0.0}","'wedge87'","45 as bus_stop","1.0","549","0","1","0","0.1583823126120685"
"88","13 as bus_stop","[1.0,1.0,1.0,0.30000000000000004]","[0.07075018125305002,0.05957910000256843,0.06578525625283599,0.068267718752943]","35.0","0","{10.204999999999927,30.260000000002037,0.0}","'wedge88'","241 as bus_stop","1.0","449","0","6","0","0.5213171250224738"
"89","29 as bus_stop","[0.4,0.49999999999999967,0.6999999999999998,0.6999999999999997]","[0.24519061980177387,0.2649640568825621,0.27485077542295616,0.1720289026028575]","141.5","0","{57.465000000000146,20.774999999997817,0.0}","'wedge89'","106 as bus_stop","1.0","508","2","1","0","0.13841405956551753"
"90","429 as bus_stop","[1.0,1.0,1.0,1.0]","[0.03999218168063383,0.04343978354965398,0.04619786504487011,0.02275417233553304]","6.0","0","{67.3149999999996,35.24499999999898,0.0}","'wedge90'","1 as bus_stop","1.0","1595","0","3","0","0.1447992784988466"
"91","251 as bus_stop","[0.09999999999999998,0.9999999999999998,0.5999999999999999,0.7999999999999998]","[0.19841531113623445,0.00615099924033724,0.00711424890567046,0.02370590986122029]","5457.0","2","{52.789999999999964,34.275000000001455,0.0}","'wedge91'","216 as bus_stop","1.0","33","30","39","3","0.06093076404186058"
"92","320 as bus_stop","[0.30000000000000004,0.5,0.19999999999999998,0.1]","[13.221205071505905,16.515001063959637,18.355845131598457,11.17655326780708]","5201.0","2","{51.73000000000047,18.889999999999418,0.0}","'wedge92'","136 as bus_stop","1.0","861","37","33","0","15.186963558020208"
"93","89 as bus_stop","[1.0,1.0,1.0,1.0]","[0.9295783662256089,1.2309379363236863,1.3746632697550771,0.9504417210785526]","228.0","0","{60.26499999999942,40.35499999999956,0.0}","'wedge93'","377 as bus_stop","1.0","560","4","15","0","2.434058066176781"
"94","332 as bus_stop","[1.0,1.0,1.0,1.0]","[0.0564511257525484,0.0804590757852414,0.0811079392996385,0.05580226223815128]","5.0","0","{63.02000000000044,52.48500000000058,0.0}","'wedge94'","307 as bus_stop","1.0","397","1","1","0","0.04542044600779757"
"95","130 as bus_stop","[1.0,1.0,1.0,1.0]","[1.532927238868639,1.7911044580465156,2.060039061356803,1.301643480021792]","356.0","0","{48.35499999999956,42.93500000000131,0.0}","'wedge95'","100 as bus_stop","1.0","560","9","10","0","1.8825422231720133"
"96","348 as bus_stop","[1.0,1.0,0.7999999999999999,1.0]","[0.18789552626368589,0.00584717384534932,0.00676692644266727,0.02245014874171236]","4309.0","1","{38.39000000000033,33.469999999997526,0.0}","'wedge96'","242 as bus_stop","1.0","33","31","37","3","0.05342951777163817"
"97","137 as bus_stop","[1.0,1.0,1.0,1.0]","[3.663264824616891,4.3114793221043985,4.4394163939769316,2.963875498380372]","1419.5","0","{62.970000000000255,39.215000000000146,0.0}","'wedge97'","279 as bus_stop","1.0","967","14","11","0","3.283718178061707"
"98","195 as bus_stop","[1.0,1.0,1.0,1.0]","[1.1345015537438472,1.2040175803212885,1.5237913025775198,0.9537598846424987]","393.5","0","{50.11500000000069,7.975000000002183,0.0}","'wedge98'","117 as bus_stop","1.0","439","7","6","0","1.167869246501019"
"99","232 as bus_stop","[1.0,1.0,1.0,1.0]","[0.5278203758024115,0.6593188777324239,0.7250681286974301,0.45111291634323747]","111.5","0","{42.914999999999964,11.940000000002328,0.0}","'wedge99'","269 as bus_stop","1.0","406","9","6","0","0.7670745945917397"
"100","364 as bus_stop","[0.0,0.4,0.1,0.6]","[13.725057436457458,17.490280731287157,18.917791476109546,11.773689537571812]","5139.0","2","{44.600000000000364,22.82499999999709,0.0}","'wedge100'","317 as bus_stop","1.0","861","36","38","0","17.41825037260346"
